,video_id,t1,t2,t3,t4,t5,t6,t7
243,xj_ZeaNJYdc,,0.28851175,,,,,0.702952
244,Nyo2Vkht_14,,,,,,,0.99385226
245,ujbT97VPR-Y,,,,,,,0.9981643
246,IhiELJ9iIJU,,,,,,,0.9958491
247,pivkK-ajI8o,,,,,,,0.99687415
248,VIkKYjKauDA,,0.2622934,,,,,0.7361878
249,L3BG7nzMd0o,,0.12141758,,,,0.26807207,0.60870534
250,OML9fAdNqP0,,0.589839,,,,,0.40830147
251,M2GRnfpdUw4,,0.10151447,,,,0.36755598,0.52908266
252,BtpaITyyJfw,,0.5121271,,,,,0.48625362
253,MHD1OSIkwx0,,0.11837644,,,,0.32969323,0.55033714
254,RjJnWN1z_Ko,,0.033696756,,,,0.024844257,0.9401758
255,oEyIuZg5CV8,,,,,,,0.9958716
256,p7l4eUcDzQc,,,,,,,0.9983551
257,A4fk0rVCn1k,,,,,,,0.99771553
258,ZWkT1bledL8,,0.44853216,,,,0.14238441,0.40744773
259,DsU8wl-VFQM,,0.127176,,,,0.26833546,0.6038025
260,IvWgs1uLF1M,,,0.01988247,,,,0.97780967
261,-lCQMFC2D5Q,,0.57285345,,,,0.0139161805,0.41180316
262,w5DIPyF60QM,0.014942481,0.04506007,,,,,0.9366881
263,pH5YmMDQSG8,,0.01393616,,,,,0.98156124
264,BCOQi9SpeIw,,,,,,,0.99796045
265,UqNuMqMiTVw,,,,,,,0.9965218
266,8jsdPWXnQc0,,0.015857836,,,,0.18543711,0.79663235
267,yIYz9HbzsIw,,,,,,,0.99821126
268,_s5ixsQay2k,,0.2921031,,,,0.37168124,0.33465236
269,IjyMCyiQ_2Q,,0.12936077,,,,,0.86873585
270,XEELmAXEi5U,,,,,,,0.99506634
271,os45IhPUYWs,,,,,,,0.99329364
272,-tzFVA-qMvc,,,,,,,0.9963134
273,28vu6y9ceQI,,0.5848238,,,,,0.41157755
274,3fHz3gwW_ZQ,,0.5620544,,,,,0.43007842
275,jnJW9ExLgpI,,0.15675999,,,,,0.8409546
276,9-vxQhAafbI,,,,,,,0.99778986
277,N-pdmx_-NdY,,0.42591137,,,,0.12173385,0.45169315
278,vAEDqIRWPEU,,,,,,,0.9976726
279,QMafxUi0udE,,,,,,,0.99773353
280,_zsVSBPPC_c,,,,,,,0.99849993
281,tHiVLJTi_Ng,,0.40272987,,,,,0.59462845
282,EGGu8oxH6ng,,,,,,,0.9914129
283,ICTxmA14dTI,,,,,,,0.98720855
284,pFHRYIlVe8I,,,,,,,0.9990653
285,n5986zKlaFo,,0.08634002,0.029675307,,,0.2197852,0.66307074
286,aZjc6m0kFYw,,0.54550534,,,,,0.45305464
287,nAowV64-Oro,,0.5913911,,,,0.014793669,0.39269796
288,IubVQw5Gca0,,0.10673793,,,,0.2894726,0.60210234
289,EZVtLzwypdk,,,,,,,0.9988019
290,d1At-MS9kvc,,,,,,,0.99661815
291,UiZq5m-6KkE,,0.5993851,,,,,0.39818797
292,320Vk-Pk2aU,,,,,,,0.9968324
293,DSw1lhUMOXY,,,,,,,0.99771357
294,ofOju24nyro,,,0.010028466,,,,0.9889697
295,FnGlXu94axg,,,,,,,0.99728304
296,fMj217wDXw0,,0.23198724,,,,0.4158691,0.3496883
297,cHEIYcs7LRs,,0.40546745,,,,,0.5932787
298,P4APFsbjYNU,,0.06970191,,,,0.13487506,0.7939522
299,HL-R4K1AKRs,,0.3541704,,,,0.069812015,0.5746804
300,rZqsqgg9P9I,,,,,,,0.98967874
301,x7kIXi-Ia0s,,0.42666537,,,,0.09137974,0.48097482
302,ELN8IurKB14,,,,,,,0.999151
303,7UUjfTs-u9w,,,,,,,0.9983059
304,ZJ0ePYaA2vA,,0.38047698,,,,0.14481768,0.47377658
305,eGd2dxA3BK8,,,,,,,0.99855417
306,zJOc3msbsWI,,0.21986423,,,,0.16545454,0.6111256
307,3rqTh-jGZmk,,,,,,,0.997496
308,IgEmj6txQAI,,0.024012111,,,,,0.97380316
309,FxuA54q29cI,,,,,,,0.99772817
310,DhjnBE6lLAg,,0.11245386,,,,0.08142894,0.80468315
311,it2QQt5pn8Q,,0.09837337,,,,0.43984753,0.46052954
312,3wuqTqa6ayo,,,,,,0.047333352,0.95084566
313,psTMTsSHJlQ,,0.24038707,,,,0.024414795,0.7336046
314,_FjKLIv7QN8,,0.37815914,,,,0.29804468,0.3222202
315,xf_QYDvaRTg,,,0.031549543,,,,0.96669656
316,nAMd1I9Qj_0,,0.07353105,,,,0.072482474,0.85253835
317,G9qWjUnkZCk,,0.18211688,,,,,0.8069137
318,qKUlG04AnL4,,,,,,0.053295314,0.9406434
319,J6FH9wk-_xs,,,,,,,0.99643725
320,9I6ww0wrF5g,,,,,,,0.9987446
321,FHGmj05E8dw,,,,,,,0.9973491
322,QkeqQRIHw2A,,0.040312465,,,,0.021054402,0.9375327
323,h-m1WcEUT0E,,,,,,,0.9989869
324,3BMV_H9zGsw,,0.1268155,,,,0.09931353,0.7723763
325,VQAFvaNro70,,,,,,,0.99826187
326,TQ0HsBxHkSg,,,,,,,0.99596727
327,xQ5ktZ8Ics0,,0.17801143,,,,0.29462224,0.52602607
328,MZrKtxDUJ-Y,,,,,,,0.9978946
329,LiNCv_aplNo,,0.39286253,,,,0.23037718,0.37571818
330,QKroUqBjF8g,,0.22635604,,,,,0.7688739
331,DULxAPX06-U,,,,,,0.6367802,0.35775793
332,fAY4WkP31a0,,,,,,0.18452291,0.81163996
333,OYa77OXo2Gs,,0.249911,0.022559766,,,0.13533098,0.5913194
334,Ui5tCLvr_kc,,0.030361142,,,,0.037000436,0.9300713
335,hmv29ovYUk4,,,,,,,0.9990921
336,SDNKzshXTNI,,0.011805152,,,,,0.9846883
337,9FqkfDmrkN4,,,,,,,0.99684155
338,5c9p3jeLebM,,0.30865675,,,,0.28540707,0.40442893
339,6mrMuh9nG_o,,0.14441563,,,,,0.8538174
340,ItY2MRKB98Y,,,,,,,0.99852896
341,X9YPRSyEX3Y,,0.11101032,,,,0.17023012,0.7166249
342,bm48gAszC1Y,,,,,,,0.9962511
343,3_y8BGOP-vw,,,,,,,0.9971178
344,hht4Yli8cfY,,0.17806229,,,,0.2945561,0.5260414
345,s49c2-Qyj8M,,0.06893004,,,,0.1954496,0.7325929
346,dR7RxqLA3sM,,0.026946284,,,,0.30454957,0.6678818
347,4AzIJ1hgynA,,0.517559,,,,,0.47964507
348,z4rYAaSwhIE,,0.10194755,,,,0.2551365,0.641783
349,h9hNbrdy7Og,,0.112009004,,,,0.41361105,0.4728842
350,OH2j9b2EEaQ,,,,,,,0.99707454
351,F4NsvHNXZBY,,0.6023594,,,,,0.39539647
352,7gFBBl_wVIc,,0.6239511,,,,,0.3744878
353,3vF_1ZtE1HY,,,,,,,0.9977756
354,XCb4Wm_A2W8,,0.52341026,,,,,0.4753075
355,Wm2IMSWgSp8,,,,,,,0.98409396
356,KLp24jEq2NQ,,0.2501712,,,,0.2188034,0.52852696
357,iOHyMMqrYkM,,,,,,,0.99748975
358,uwTey702ncU,,,,,,,0.9965362
359,0ncJRCe3ddo,,,,,,,0.99778044
360,O8WSXiuTXhI,,,,,,,0.9980205
361,RhGTo-GPOws,,,,,,,0.99730533
362,C7QnGhL_cOc,,,,,,,0.9961308
363,1WD6zVLbEs8,,,,,,,0.99745136
364,FerZK03K2A0,,0.47176766,,,,,0.5268737
365,Y4a16WTpezU,,0.38430065,,,,0.19490682,0.41881892
